school_name,campus_name,school_code,campus_code,district,district_code,school_type,school_nature,address,lng,lat,school_tel,student_count,class_count,teacher_count,school_scope,direct_middle_school,school_detail,communities_hj,communities_xhzr,community_count,year,visit_times
杭州市蒋筑英学校,,2133000527,2133000527001,上城区,330102,小学,非民办,紫阳街道金狮苑20号,120.175697,30.235998,0571-86778773,653,19,49,彩霞岭社区、上羊市街社区,杭州市江城中学,杭州市蒋筑英学校（原杭州市抚宁巷小学）创建于清光绪三十四年（1908年），于2021年更名为杭州市蒋筑英学校。学校按照“特色立校 品质筑英”的宗旨办学，以校友——著名光学科学家蒋筑英的精神之光为指引，着力培育小学生的创新潜质，即好奇心、责任心、修复力和创造力，致力和学生一起共创一个充满光的教育环境，从课堂延伸到蒋筑英纪念馆，让物理和精神之光启迪学生的心灵。光撒到哪里，学习就发生在哪里，以跨学科学习和PBL项目化学习为核心，构建丰富多彩的追光课程体系。学校先后被评为全国科技体育传统学校、全国“综合实践活动”先进实验学校、全国中小学“英雄团队集体”示范学校等荣誉。,保安桥河下;保安桥直街;彩霞岭;彩霞新村;抚宁巷;鼓楼花园;黄公厂弄;皇城花苑;嘉景苑;金狮苑;金钗袋巷;六圣堂;牛羊司巷;上水陆寺巷;上陈家园;水门南弄;通江桥高层小区;望江公寓;五圣堂;响水坝弄;小剪刀弄;袁井巷;云雀苑;镇东楼;紫源公寓,镇东楼;皇城花苑;保安桥直街;六圣堂;紫源公寓;彩霞新村;通江桥高层小区;上水陆寺巷;黄公厂弄;五圣堂;彩霞岭;抚宁巷;保安桥河下;水门南弄;金钗袋巷;鼓楼花园;牛羊司巷;嘉景苑;袁井巷;上陈家园;响水坝弄;云雀苑;小剪刀弄;望江公寓;金狮苑;钱江时代公寓;滨江新苑;景江城市花园;滨江家园;怡和苑;天福花园;在水一方;世纪坊;临江风帆;江韵园;近江家园一园;近江家园三园;近江家园二园;近江家园五园;近江家园四园;江城路;过军桥河下;福德桥弄;上仓桥路;中河南路;平安里;水门弄;抚宁巷;望江路;之江路;鲲鹏路,76,2026,0
杭州市钱学森学校,,3133000844,3133000844001,上城区,330102,初中,非民办,紫阳街道甬江路235号,120.181693,30.229262,0571-85881808,576,16,50,木场巷社区,,杭州市钱学森学校为杭州市上城区教育局下属事业单位，是为了纪念伟大的科学家、思想家钱学森、弘扬科学家精神而建。学校的办学目标是学生全面发展·教师幸福成长·社会高度认可·人民普遍满意。坚持五育并举，立德树人，培养德智体美劳全面发展的社会主义建设者和接班人，坚持践行钱学森“大成教育学”，遵照“文理兼修，全面发展”，努力办成一所国际化现代化的一流公办学校。,海潮雅园一园;海潮雅园三园;海潮雅园二园;秋望悦居;秋澜悦庭;甬江嘉院,秋澜悦庭;海潮雅园一园;海潮雅园三园;秋望悦居;海潮雅园二园;大通桥河下;海潮寺弄;望江路;海潮雅苑;海潮新村;大通桥里街;甬江嘉院;老刮浆坊;上木场巷;三多园;坤年里;盛家弄;永明新村;金鱼弄;南落马营;老荷花弄;上灰团巷;海潮路;望江门外直街;黄家园;火弄;上木场巷新村;新荷花弄;新刮浆坊,35,2026,0
杭州市大学路小学,,2133000521,2133000521001,上城区,330102,小学,非民办,小营街道大学路新村54号,120.183913,30.252342,0571-87919369,645,19,52,大学路社区、葵巷社区、老浙大社区、长明寺巷社区,浙江省杭州第十中学,"杭州市大学路小学创建于1958年，坐落于书香浓厚、人文荟萃的大学路上，是一所颇受社会、家长好评的学校。1997年和2000年，华藏寺巷小学和建国二小先后并入，目前设有本部和华藏两个校区。
学校秉承“览大学真”校训，坚持“日新又新”办学理念，着力培育“修身、齐家、治国、平天下”的日新学生，培养“格物致知、诚意正心”的日新教师，以“办一所有大学品味的小学”为愿景，打造具有日新教育特质的杭城强校。
学校以显著的办学成果赢得了社会各界的赞誉，先后被评为全国小学体育活动校园最佳创新奖、浙江省标准化学校、浙江省绿色学校、浙江省少年海事学校、浙江省“一校一品”特色示范学校、浙江省健康学校、浙江省红十字达标学校、杭州市人民满意学校、杭州市小班化教育实验学校、杭州市击剑体育传统学校、杭州市语言文字规范化示范学校、杭州市先进职工之家、杭州市示范家长学校、杭州市教育系统先进团支部等。",长庆里;大学苑;大学路新村;高官弄公寓;翰林花园;横河新村;华藏寺巷;金衙庄公寓;锦花苑;老浙大横路一弄;老浙大横路三弄;老浙大直路;老浙大直路二弄;瑞丰格林苑;水岸城市花园;万安城市花园东苑;万安城市花园南苑;西泠花苑;小河下;燕子弄;叶家弄,长庆里;水岸城市花园;大学路新村;瑞丰格林苑;解放路;横河新村;老浙大横路一弄;大学苑;高官弄公寓;金衙庄公寓;老浙大直路;翰林花园;老浙大横路三弄;老浙大直路二弄;小河下;华藏寺巷;燕子弄;锦花苑;万安城市花园南苑;万安城市花园东苑;西泠花苑;叶家弄;小火把弄;锅子弄;城站路;清泰街;环城东路;联珠里;建国中路;江城路;马坡巷;建国南路;直福缘巷;长明寺巷;小米巷;长坡里;大学路;环城东路;大学路;水岸城市花园;庆春路;大河下;大学路;建国中路;余打枝巷;万安桥东弄,67,2026,0
杭州市采荷第一小学,,2133006266,2133006266002,上城区,330102,小学,非民办,上城区采荷街道杭州市上城区采菱路42号,120.193206,30.254222,0571-56970016,1611,36,91,"洁莲社区、红菱社区（红菱邨）、芙蓉社区、双菱社区、人民社区
[上述社区流动人口随迁子女到杭州市滨江第一小学进行信息核验]",杭州市采荷中学（采荷校区）,"杭州市采荷第一小学自1987年建校以来，不断探索发展路径，创新管理模式。2008年学校走上集团化办学之路。学校始终紧紧围绕“关注孩子一生的发展”的办学宗旨，积极践行“向美而生 与美同行”的美育化办学实践，培养“正直自信、灵动志远”的欣荷少年。学校精心开辟了“五美”实施路径：让美充盈校园，让美浸润课堂，让美流淌心田，让美智慧思想，让美发展特色，让每一个孩子成为最美最好的自己。
学校连续十六年被评为区教学质量优秀学校，先后被认定第二批中国新样态联盟学校、第二批全国中小学中华优秀文化艺术传承学校、全国特色学校、全国生命教育示范校、中国竹笛特色教育学校联盟理事单位、第二批浙江省示范性教师发展学校建设学校、浙江省教育机器人应用试点拟建设学校、浙江省文明单位等。",采荷新村;采荷洁莲新村;采荷紫藕新村;采荷红菱新村;采荷翠柳新村;采荷芙蓉新村;采荷金谷新村;建电新村;凯旋新村;凯旋门公寓;庆春御府;双菱新村;紫园,,13,2026,0
杭州市笕弘实验学校,,3133000829,3133000829001,上城区,330102,初中,非民办,笕桥街道全福桥路519号,120.197791,30.303766,0571-86068951,205,5,19,省农科院社区、枸桔弄社区,,杭州市笕弘实验学校是一所九年一贯制公办学校，于2022年成功创建浙江省标准化学校。规划起点高、标准高，按照园林标准进行规划，校园的建筑形式及空间设计现代、自然、大气，遵循开放式、多层次、可组合的理念，与学校新生态教育创新开发深度融合，为学生多元学习、深度学习提供优良的空间保障。学校以“让每个学生自由向上生长”为办学理念，以“厚积薄发、弘达浩然”作为校训，坚持“把学生培育为展知健体、弘仁博艺的国际化视野的新时代少年”的育人目标，把“办一所充满活力与想象的弘生态学校”作为学校办学愿景。,翠翎公寓;德胜上郡华庭;东方尚城;金禾嘉苑;锦润公寓;省农科院家属区;时光悦酩;天城府;新风悦居;紫玉福邸,金禾嘉苑;省农科院家属会;德胜上郡华庭;农科院;东方尚城;天城府;紫玉福邸;翠翎公寓;锦润公寓;时光悦酩;新风悦居;石桥路;机场路,23,2026,0
杭州市东润外国语学校,,3133000825,3133000825001,上城区,330102,初中,非民办,上城区九堡街道三胜街409号,120.275523,30.334742,0571-89838630,417,10,26,三卫社区、九塘社区（杭海路以北）、和华社区（和睦港以东）,,杭州市东润外国语学校建校于2021年9月，是一所九年一贯制公办学校。学校依托杭州师范大学东城教育集团的力量，积极践行“人格为先，五育并进”的办学理念，先后被评为浙江省健康促进学校（铜牌），杭州市中小学校“示范食堂” ，杭州市上城区绿色学校，荣获全国青少年排舞锦标赛特等奖。2024 学年考核工作中，学校被评为信访、安全、后勤“三项”管理奖先进单位。,九润公寓;罗兰春天;三卫家园;湾汇公寓;肖苑,九润公寓;罗兰春天;肖苑;湾汇公寓;三卫家园;青宸里;三卫过渡房;春溪集轩;天瑄城;春溪集轩;春溪集轩;天瑄城;三卫社区,18,2026,0
杭州市澎汇小学,,2133002235,2133002235001,上城区,330102,小学,非民办,彭埠街道红建街528号,120.238446,30.290157,0571-56601612,1418,36,66,建隆社区（三官塘路以西）、彭埠街道的兴隆社区,杭州市澎扬中学,"杭州市澎汇小学创办于2020年9月，为杭州濮家小学教育集团集群联智共同体学校。学校建筑大气开放、圆融敞亮，专业场室功能齐全、现代科技，是一所标准化、现代化、高品质的公办小学。办学以来，全体教师秉承“激情、融汇、梦想”的办学精神，践行“让每一个孩子健康成长、梦想飞扬”的办学理念，全力培育眼明心亮、创享未来的澎汇少年。
学校先后获得“省义务教育标准化学校”“杭州市儿童青少年近视综合防控特色学校”等荣誉，“双减”520行动及“康康节”“溜溜节”等特色活动，多次被学习强国、浙江电视台等媒体报道，获得社会各界好评。学校正茁壮成长为一所让师生快乐栖居、智慧生长的新健康学校。",博翠碧蓝湾;对越天筑;前滩名邸;棠玥湾;天萃名邸;兴隆公寓;雅渟名府;云悦湾;艮兴嘉苑,雅渟名府;艮兴嘉苑;博翠碧蓝湾;天萃名邸;前滩名邸;兴隆公寓;对越天筑;棠玥湾;云悦湾;兴隆社区,19,2026,0
杭州市钱江新城实验小学,,2133002233,2133002233001,上城区,330102,小学,非民办,四季青街道太平门直街599号,120.212362,30.261635,0571-56970067,2262,52,127,"五福社区（新塘路以东）、三堡社区（凤起东路以南，运河以西）、钱江苑社区、三叉社区（新塘路以东）、钱塘社区、城星社区(解放东路以北)
[上述社区流动人口随迁子女到杭州市四季青小学进行信息核验]",杭州市钱江新城实验学校,"杭州市采荷第一小学自1987年建校以来，不断探索发展路径，创新管理模式。2008年学校尝试走集团化办学之路，对采荷、双菱、钱江苑三个校区实施紧密型管理。2020年3月，钱江苑校区因规模增扩，被正式命名为杭州市钱江新城实验小学。学校始终围绕“关注孩子一生的发展”的办学宗旨，积极践行“向美而生 与美同行”的美育化办学实践，培养“正直自信、灵动志远”的欣荷少年。学校精心开辟了“五美”实施路径：让美充盈校园，让美浸润课堂，让美流淌心田，让美智慧思想，让美发展特色，让每一个孩子成为最美最好的自己。
   集团连续十六年被评为区教学质量优秀学校，先后被认定第二批中国新样态联盟学校、第二批全国中小学中华优秀文化艺术传承学校、全国特色学校、全国生命教育示范校、中国竹笛特色教育学校联盟理事单位、第二批浙江省示范性教师发展学校建设学校、浙江省教育机器人应用试点拟建设学校、浙江省文明单位等称号。",东方润园;杭凤府;钱江一苑;钱江七苑;钱江三苑;钱江二苑;钱江六苑;钱江四苑东区;钱江四苑西区;三叉花苑;三堡家园;三堡家园南区;盛世钱塘花园;水岸帝景公寓;顺福雅苑一区;顺福雅苑二区;五福苑一苑;五福苑二苑;晓庐;新城国际花园和园;新城国际花园彩园;悦府,,22,2026,0
浙江师范大学附属杭州笕文实验学校,,3133000755,3133000755001,上城区,330102,初中,非民办,笕桥街道德学巷1号,120.212474,30.301919,小学：0571-56502661；初中：0571-58081107,1119,31,77,东港社区、花园社区（环站东路以西）,,地处笕桥这一方热土的笕文实验学校，整合了笕实、浙师大和联盟学校的各方优势教育教学资源，采用两校一体、九年一贯、院校共建的方式建校办校。笕文不论在基础教学还是科体艺发展都主张培养孩子成仁至善的“人本视野”，持续发展的“未来视野”，家国情怀的“民族视野”，和兼容并包的“国际视野”，以此来唤醒每一个孩子的至善天性，激活每一个孩子的学习能力，生成每一个孩子的现代素养。学校积极打造“全视野学习空间站”课程体系，重点推进“双语阅读”“学科融合”“艺术戏剧”“科技创新”等特色课程。学生在校根据自己的兴趣自主选择课程，走班制上课。三年来，笕文学生获奖无数，科体艺全面开花：浙江省健美操大赛获团体、个人一等奖第一名；浙江省奇迹创意科普实验创新大赛获团体第一名；全球自然科学知识挑战赛获团体一等奖；杭州市舞蹈大赛连续三年获市一等奖以及车模大赛连续多年摘下一等奖桂冠等成绩。学校扎根课堂，伸展根系，教师每年在区、市、省皆斩获大奖。课堂采用学生自主上课的内生课堂模式，并获得浙江省基础教育成果特等奖。,东港嘉苑;曙光之城;天誉湾,天誉湾;曙光之城;东港嘉苑;弄口社区,7,2026,0
杭州市省教科院实验学校,,3133005878,3133005878001,上城区,330102,初中,非民办,上城区闸弄口街道机场路里街39号,120.188628,30.280242,小学部：0571-81961415初中部：0571-81961305,1151,30,95,闸弄口社区、京惠社区、天杭社区、天仙社区,,"浙江省教育科学研究院附属实验学校成立于2010年7月，是区教育局与浙江省教育科学研究院创新办学模式，采用“科
研机构+新校”的形式合作办学的一所九年一贯制学校。学校环境优美，设施齐全，整个学校充满人文氛围，精致典雅的建筑风格与生机盎然的园林绿化相协调，营造出宁静生动的学校氛围，是一所“净化、绿化、美化、文化”相结合的花园型学校。
    学校通过和省教科院合作，以“多元融合、差异发展、精致和谐、活泼幸福”为宗旨，实现“科研兴校”的办学特色。学校秉承“和谐、求真、精致、创新”的校训、“博学、协作、奉献、进取”的教风、“想学、能学、会学、乐学”的学风，努力打造一所高品质的学校。",红树林花园;机神公寓;吉蕴和府;京惠花园;京漾东韵府;流水东苑;乾韵华庭;天仙新苑;天城铭园;天成嘉苑;文晖铭园;新安铭苑;闸弄口东村;闸弄口新村;闸弄口新苑;紫薇公寓,乾韵华庭;铁路宿舍;闸弄口新苑;永济桥;新苑;闸弄口东村;吉蕴和府;闸弄口新村;艮山西路一弄;京漾东韵府;闸弄口村;天成嘉苑;新安铭苑;文晖铭园;天仙新苑;紫薇公寓;天城铭园;红树林花园;机神公寓;京惠花园;流水东苑;闸弄口新村;白庙前;机场路;机场路里街;闸弄口一弄;新安铭园;机神公寓;天成路;机场路;机场路里街,47,2026,0
浙江大学华家池子弟小学,,2133006190,2133006190001,上城区,330102,小学,非民办,凯旋街道凯旋路258号,120.195287,30.266819,0571-86971007,291,9,27,,,浙江大学华家池子弟小学创建于1958年，是浙江大学创办的国有公办小学，坐落于浙江大学华家池校区内。学校一直服务于浙大教职工，解决教职工子女入学问题，化解其后顾之忧，使浙大教职工安心于伟大的育人事业。学校是全国少年儿童世界和平海报创作基地、浙江大学“相约红领巾”教育活动基地、浙江省青少年作家协会会员单位、区实施《国家学生体质健康标准》先进学校、区语言文字规范化学校、区文明校园。学校以“让每一位孩子幸福成长”为办学宗旨，以“求真，至善，尚美”为校训。近年来，学校依托浙江大学教育资源，拓宽现代化管理下的学校教育视野，着力打造课程体系品牌化，教师队伍专业化，学校管理人文化的现代化幸福校园。,,,0,2024,0
